,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
180042,Student Meals/Room/Other,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,3999.91,,,General Fund,
28872,Extra Duty/Signing Bonus Pay,Undistributed,,CHEERLEADER DIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,3447.320213,,,General Fund,
186915,Professional Salaries,Bilingual Education,,T-EL 1ST BIL,,General,School ,1,Instruction,,,52738.78087,,,General Fund,
412396,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1,Instruction,,,69729.26319,,,General Fund,
427740,Salaries for Support Personnel,Undistributed,,CLERK III- SCH,,General,School ,1,School Leadership,,,29492.83422,,,General Fund,
69847,General Supplies,Gifted and Talented,,,,Magnet School,School ,,School Leadership,,,611.73,,,General Fund,
358824,Maint: Vehicles,Special Education,,,,General,Transportation Office,,Student Transportation,,,45999.96,,,General Fund,
254148,Extra Duty/Signing Bonus Pay,Special Education,,,,General,Special Ed Evaluation Services,,"Guidance, Counseling and Evaluation Services",,,9342.409,,,IDEA-B Formula,
296,General Supplies,Basic Educational Services,,,,Art,School ,,Instruction,,,1480.97,,,General Fund,
416755,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.5,Food Services,,,13675.59172,,,Nat'l Schl Breakfast & Lunch Prog.,
179714,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,38206.2689,,,General Fund,
285896,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,ABD,1,Instruction,,,30583.74634,,,IDEA-B Formula,
265808,Reading Materials including Library Books,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,650.72,,,General Fund,
197775,Professional Salaries,Basic Educational Services,,T-HS P.E.,,General,School ,1,Instruction,,,57037.43271,,,General Fund,
204524,Extra Duty/Signing Bonus Pay,Bilingual Education,,,,General,School ,,Instruction,,,11450.8502,,,General Fund,
229744,Professional Salaries,Bilingual Education,,T-EL 1ST ESL,,General,School ,1,Instruction,,,56226.7182,,,General Fund,
30711,Employee Allowance,Basic Educational Services,,TRAVEL,,General,School ,,Instruction,,,433.2677066,,,General Fund,
220894,Part-Time Hourly,Accelerated Education,,,,General,School ,,Community Services,,,49792.634,,,English Literacy Civics,
